Date, Year, Donation
"08-07", 2022, 300000
"08-08", 2022, 6800000
"08-09", 2022, 8150000
"08-10", 2022, 8750000
"07-29", 2023, 3845000
"07-31", 2023, 5645000
"08-01", 2023, 7255000
"08-02", 2023, 8205000
"08-03", 2023, 8355000
"08-04", 2023, 11033006
"08-06", 2023, 14063006
"08-09", 2023, 19543006
"08-10", 2023, 20893006
"07-17", 2024, 1000000
"07-18", 2024, 1500000
"07-19", 2024, 1500000
"07-20", 2024, 3111988
"07-21", 2024, 3111988
"07-22", 2024, 4311988
"07-23", 2024, 4961988
"07-24", 2024, 5311988
"07-25", 2024, 5311988
"07-26", 2024, 7161988
"07-27", 2024, 7561988
"07-28", 2024, 9161988
"07-29", 2024, 10511988
"07-30", 2024, 11661988
"07-31", 2024, 11961988
"08-01", 2024, 13911988
"08-02", 2024, 13911988
"08-03", 2024, 15361988
"08-04", 2024, 16186988
"08-05", 2024, 17086988
"08-06", 2024, 17086988
"08-07", 2024, 17086988
"08-08", 2024, 18086988
"08-09", 2024, 19286988
"08-10", 2024, 20336988
"08-11", 2024, 20936988
"08-12", 2024, 20936988
"08-13", 2024, 22436988
"08-14", 2024, 29851988
"08-15", 2024, 30400988
"08-16", 2024, 36880000
